Run,Savings
1.0,3.57265085859821
2.0,3.57265085859821
3.0,3.57265085859821
4.0,3.57265085859821
5.0,3.57265085859821
6.0,3.57265085859821
7.0,3.57265085859821
8.0,3.57265085859821
9.0,3.57265085859821
10.0,3.57265085859821
11.0,3.57265085859821
12.0,3.57265085859821
13.0,3.57265085859821
14.0,3.57265085859821
15.0,3.57265085859821
16.0,3.57265085859821
17.0,3.57265085859821
18.0,3.57265085859821
19.0,3.57265085859821
20.0,3.57265085859821
21.0,3.57265085859821
22.0,3.57265085859821
23.0,3.57265085859821
24.0,3.57265085859821
25.0,3.57265085859821
26.0,3.57265085859821
27.0,3.57265085859821
28.0,3.57265085859821
29.0,3.57265085859821
30.0,3.57265085859821
31.0,3.57265085859821
32.0,3.57265085859821
33.0,3.57265085859821
34.0,3.57265085859821
35.0,3.57265085859821
36.0,3.57265085859821
37.0,3.57265085859821
38.0,3.57265085859821
39.0,3.57265085859821
40.0,3.57265085859821
41.0,3.57265085859821
42.0,3.57265085859821
43.0,3.57265085859821
44.0,3.57265085859821
45.0,3.57265085859821
46.0,3.57265085859821
47.0,3.57265085859821
48.0,3.57265085859821
