TimeIndex,Temperature,Electricity
744,15.175,13184787015.267426
1416,15.9625,12143124337.441422
2160,24.575,13848189331.711948
2880,31.325,14746939125.349747
3624,27.5625,16712089150.750507
4344,31.3125,16562598806.234625
5088,26.025,18895444962.86775
5832,28.874999999999996,17531361710.504627
6552,29.1875,15921209033.169518
7296,21.3,16294085118.699694
8016,17.3125,13320278032.14713
8760,12.875,12920485765.293816
8760,12.875,182080592389.4355
